nct_id,site,title,official_title,status,study_type,phase,conditions,enrollment,start_date,completion_date,primary_outcome,summary,eligibility_criteria,sex,min_age,max_age,officials,locations,therapeutic_areas,fetch_time,query_term,start_date_dt,completion_date_dt,study_duration_days,enrollment_velocity,is_completed,is_terminated
NCT05193734,"University Hospital, Geneva",Safety and Immunogenicity of 2 Doses Versus 1 Dose of Acellular Pertussis Vaccines Containing Genetically-detoxified Pertussis Toxin in Young Adults Previously Primed With Acellular Pertussis Vaccines,"A Phase II/III Randomized, Double-blind Controlled Study to Compare the Safety and Immunogenicity of 1 or 2 Doses of Acellular Pertussis Vaccines Containing Genetically-detoxified Pertussis Toxin in Young Adults Previously Primed With Acellular Pertussis Vaccines",UNKNOWN,INTERVENTIONAL,"PHASE2, PHASE3","Pertussis, Vaccine-Preventable Diseases",100,2022-02-07,2023-03-30,Immunogenicity of two doses compared to a single dose of an acellular pertussis vaccine,"A significant increase of pertussis incidence is reported in a growing number of countries. This resurgence is considered as resulting from the limited durability of aP-vaccine-induced immunity and is associated with increased mortality in young infants and morbidity at all age groups. As the pertussis immunity acquired through immunization or infection is short-lived, its maintenance or reactivation requires repeat boosting at regular time points. Thus, novel strategies capable of reactivating pertussis immunity are needed.

The efficacy of current acellular pertussis vaccines (which contain chemically-detoxified pertussis toxoid (PT)) rapidly wanes, in part because priming and repeat immunization with acellular vaccines induce antibodies specific for the chemically-detoxified PT but unable to efficiently recognize the native PT expressed by B. pertussis.

Clinical studies have shown the superior immunogenicity profile of acellular pertussis vaccines including genetically-detoxified PT (rPT) in adults and adolescents previously primed with aP. In particular, the investigators showed in a past Geneva study in teenagers previously primed with aP that rPT/FHA induced a stronger recall response than the current aP-vaccine at one month post-vaccination. However, the difference was less clear one year after vaccination, suggesting that 2 doses may be needed for more sustained immunity.

In the present study, the investigators would like to assess whether giving two doses of rPT/FHA at 6 months interval induces stronger immune responses than a single dose.","Inclusion Criteria:

* Has provided written informed consent;
* Male or female, ages 18 to 30 years (inclusive) at the time of enrollment;
* With documented history of acellular pertussis immunization (5 doses);
* Free of clinically significant health problems, as determined by pertinent medical history and clinical examination at study screening;
* Non-pregnant, non-lactating females :
* Able to attend all scheduled visits during one year and to understand and comply with the study procedures;

Exclusion Criteria:

* Prior dTpa immunization within the last 5 years or prior dT immunization within the last 2 years, or any other investigational vaccine likely to impact on interpretation of the trial data
* Suspected or confirmed pertussis infection within the last 10 years or documented pertussis infection in a household member within the last 10 years;
* History of severe local or systemic reactions to any vaccination;
* Known hypersensitivity or allergy to diphtheria, tetanus, or pertussis-containing vaccines (including excipients);
* Receipt of investigational product up to 30 days prior to enrollment or ongoing participation in another interventional clinical trial;
* Receipt of licensed vaccines within 30 days of planned study immunization or ongoing participation in another clinical interventional trial likely to interfere with study results;
* Acute or chronic, clinically significant psychiatric, hematologic, pulmonary, cardiovascular, or hepatic or renal functional abnormality as determined by the Investigator based on medical history and physical exam;
* Any confirmed or suspected immunosuppressive or immunodeficient condition, including human immunodeficiency virus (HIV) infection, asplenia, cytotoxic therapy in the previous 5 years, and/or diabetes;
* Has a known history of vaccine-induced Guillain-Barré Syndrome;
* Has an active malignancy or recent (\<10 years) history of metastatic or hematologic malignancy;
* Suspected or known alcohol and/or illicit drug abuse within the past 5 years;
* Pregnant or lactating female, or female intending to becoming pregnant during the study period;
* Administration of immunoglobulins within the 120 days preceding study entry or planned administration during the study period;
* History of blood donation (at least 450 ml) within 30 days of enrollment or plans to donate within the 30 days following and preceding each blood draw;
* Receipt of chronic (\>14 days) immunosuppressants or other immune-modifying drugs within 6 months of study entry:
* Any other significant finding that, in the opinion of the investigator, would increase the risk of the individual's having an adverse outcome by participating in this study.",ALL,18 Years,30 Years,"BLANCHARD ROHNER Geraldine, MD (PRINCIPAL_INVESTIGATOR)",Switzerland,"Pertussis, Vaccine-Preventable Diseases",2025-11-03T08:19:34.466266,whooping cough,2022-02-07,2023-03-30,416.0,0.2403846153846154,False,False
NCT03350698,Eastern Virginia Medical School,Occupational Exposure to Human Papilloma Virus (HPV) and Prophylactic Vaccination,Occupational Exposure to Human Papilloma Virus (HPV) and Prophylactic Vaccination (Version IV Dated 24Oct2017),UNKNOWN,INTERVENTIONAL,PHASE4,Papillomavirus Vaccines,100,2018-04-06,2023-12-30,# of participants with elevated HPV antibody titers from baseline to 7 months,"Currently there are no standards for healthcare worker vaccination with the HPV, Gardasil-9 vaccine. For health care workers, the CDC only recommends for vaccination against hepatitis B, influenza virus, Measles, Mumps and Rubella (MMR), Chickenpox (Varicella), Tetanus, Diptheria, and Pertussis (Tdap), and meninogococcal infections6","Inclusion Criteria:

* • Actively practicing attending surgeon in the field of Otolaryngology, General Surgery, Urology, or Obstetrics-Gynecology employed by EVMS or credentialed by CHKD and/or SNGH.

or

• Current residents of EVMS Otolaryngology, General Surgery, Urology, or Obstetrics-Gynecology programs

Exclusion Criteria:

* • Age 26 or younger

  * Age over 69
  * Hypersensitivity to vaccine component
  * History of severe allergic or hypersensitivity reactions to yeast
  * History of previous HPV vaccination with 9 valent vaccine
  * Pregnant
  * Moderate or severe acute illness",ALL,27 Years,69 Years,"Craig H Derkay, MD (PRINCIPAL_INVESTIGATOR)",United States,Papillomavirus Vaccines,2025-11-03T08:19:36.266273,whooping cough,2018-04-06,2023-12-30,2094.0,0.04775549188156638,False,False
NCT05850364,"Sinovac Biotech Co., Ltd","A Multi-center, Open-labelled, Randomized, Controlled, Extended Phase Ⅲ Clinical Trial of sIPV Vaccine","A Multi-country, Multi-center, Open-labelled, Randomized, Controlled, Extended Phase Ⅲ Clinical Trial to Evaluate the Immunogenicity and Tolerability of Sabin Strain Inactivated Poliovirus Vaccine Administered With or Without Routine Infant Vaccines",UNKNOWN,INTERVENTIONAL,PHASE3,"Poliomyelitis, Polio",1440,2023-05-22,2024-12-01,"To evaluate the non-inferiority of immune response to polio vaccination, when administered concomitantly with routine vaccines","This study is designed to study the immunogenicity and safety of sIPV co-administered with other routine infant vaccines. According to the national immunization schedule of Bangladesh and Pakistan, sIPV was administered concomitantly with PCV10, DTP-HeB-Hib and other vaccines at 6, 10 and 14 weeks old. Thus, this study set up the concomitant vaccination schedule according to the real practice in study area. The primary hypothesis of this study is the seroconversion rate of polio vaccination when administered concomitantly with routine vaccines, is non-inferior to that when administered alone; the secondary hypothesis of this study is the seropositivity rate of diphtheria, tetanus, and pertussis when routine vaccines are administered concomitantly with sIPV, is non-inferior to that administered without sIPV.","Inclusion Criteria:

1\) Infants of 6 weeks old (42-47 days); 2) For whom a parent/legal guardian has given written informed consent after the study has been explained; 3) Be able to provide the vaccination records after birth; 4) Negative results in SARS-CoV-2 rapid antigen testing, within 24 hours before enrollment; 5) The participant's mother was tested negative for HIV, Syphilis, Hepatitis A, Hepatitis B infection during or before (during pregnancy) her child's enrollment to this study (the test result should be provided, and that obtained during pregnancy is acceptable).

\-

Exclusion Criteria:

1\) History of polio vaccination (except the OPV at birth); 2) Prior vaccination with routine infant vaccines against Diphtheria, Tetanus, Pertussis, Haemophilus influenzae type b (Hib), Pneumococcal or rotavirus; 3) History of severe allergic reaction after previous vaccinations or hypersensitivity to any vaccine component; 4) Infants with premature labor (delivery before week 37 of gestation) and low body weight (birth body weight is \<2500 g); 5) Infants with difficult labor at birth, asphyxiation rescue and history of nervous system injury; 6) Congenital malformation or development disorder, genetic defect, severe malnutrition, etc.; 7) Autoimmune disease or immunodeficiency/immunosuppression; 8) Patients with serious chronic diseases (such as Down's syndrome, diabetes, sickle cell anemia, or neurological disorders); 9) Abnormal coagulation functions (such as coagulation factor deficiency, blood coagulation disease and blood platelet disorders) or obvious bruise or blood coagulation disorders diagnosed by the doctors; 10) Those who have received immunosuppressant therapy, cytotoxic drug therapy and inhaled corticosteroid therapy (excluding the corticosteroid aerosol therapy for allergic rhinitis and surface corticosteroid therapy for acute non-complicated dermatitis); 11) The volunteer has received blood products before inoculation of the trial vaccine; 12) The volunteer has received other study drugs within 30 days before inoculation of the trial vaccine; 13) The volunteer has received live attenuated vaccines within 14 days before inoculation of the trial vaccine; 14) The volunteer has received subunit or inactivated vaccines within 7 days before inoculation of the trial vaccine; 15) Various acute diseases or acute exacerbation of chronic diseases within recent 7 days; 16) Significant acute disease or chronic infection within the previous 7 days or axillary temperature equal and more than 37.3℃ prior to vaccination in the present study; 17) The volunteer has any other factors which are unsuitable for participation in the clinical trial as judged by the investigators.

\-",ALL,42 Days,47 Days,"Wasif A Khan, Dr. (PRINCIPAL_INVESTIGATOR)","Pakistan, Bangladesh","Poliomyelitis, Polio",2025-11-03T08:19:36.266273,whooping cough,2023-05-22,2024-12-01,559.0,2.5760286225402504,False,False
NCT00090233,Merck Sharp & Dohme LLC,Rotavirus Efficacy and Safety Trial (REST)(V260-006),"Safety and Efficacy of Pentavalent (G1, G2, G3, G4 , and P1) Human-Bovine Reassortant Rotavirus Vaccine in Healthy Infants",COMPLETED,INTERVENTIONAL,PHASE3,Rotavirus Infections,69274,2001-01,2004-10,Intussusception Within 42 Days Following Any Dose of RotaTeq™/Placebo,This study was designed to evaluate the safety of the investigational rotavirus vaccine and the efficacy to prevent rotavirus gastroenteritis.,"Inclusion Criteria:

* Healthy infants

Exclusion Criteria:

* None Specified",ALL,6 Weeks,12 Weeks,Medical Monitor (STUDY_DIRECTOR),,Rotavirus Infections,2025-11-03T08:19:36.266273,whooping cough,,,,0.0,True,False
NCT01890850,GlaxoSmithKline,Study to Analyze the Risk Factors Associated With Pertussis/Whooping Cough Infection Among Infants,Risk Factors Associated With Pertussis Among Infants Less Than One-year of Age,COMPLETED,OBSERVATIONAL,,"Diphtheria, Acellular Pertussis, Tetanus",1,2013-07,2013-11,Assessment of claim identified pertussis/whooping cough,This study aims to estimate the risk factors associated with pertussis/whopping cough infection among infants less than one year of age in a United States (U.S.) commercially insured population. The study will utilize a large research data base associated with a geographically diverse U.S. health plan not limited by one geographic area or disease outbreak to evaluate pertussis in infants between 2005 and 2010. Healthcare costs and utilization among infants with a reported diagnosis of pertussis/whooping cough stratified by the number of DTaP vaccinations received prior to infection will also be reported.,"Inclusion Criteria:

* Date of birth between July 1, 2005 and September 30, 2010.
* Enrollment in a commercial health plan within one month of birth.
* Known sex and geographic region.
* Infants will be included as a pertussis/whooping cough case if they meet the diagnosis criteria Infants not identified as a pertussis/whooping cough case are eligible for inclusion as a control.

Exclusion Criteria:

• Enrollment does not include medical and pharmacy coverage.",ALL,,1 Year,GSK Clinical Trials (STUDY_DIRECTOR),,"Diphtheria, Acellular Pertussis, Tetanus",2025-11-03T08:19:36.266273,whooping cough,,,,0.0,True,False
NCT00348881,Sanofi,"Study Comparing a DTaP-HB-PRP~T Combined Vaccine With Tritanrix HepB/Hib™, Concomitantly With OPV in Healthy Infants","Large Scale Safety and Immunogenicity Study of a DTaP-Hep B-PRP-T Combined Vaccine Compared to Tritanrix HepB/Hib™, Both Given Concomitantly With OPV at 6, 10, and 14 Weeks of Age in Healthy Filipino Infants",COMPLETED,INTERVENTIONAL,PHASE3,"Diphtheria, Tetanus, Pertussis, Hepatitis B, Influenza",2133,2006-06,2008-06,"Number of Participants With Seroprotection for Anti-Hep Bs, Anti-PRP, Anti-Tetanus, and Anti-Diphtheria Antibodies After Vaccination With Either DTaP-Hep B-PRP~T Concomitantly With OPV or Tritanrix-Hep B/Hib™ Concomitantly With OPV","This is a study to compare the safety and immune response of a pentavalent DTaP-HB-PRP\~T combined vaccine with Tritanrix-HepB/Hib™, when both are given concomitantly with OPV at 6, 10, and 14 weeks of age.","Inclusion Criteria:

At Screening:

* 0 to 3 day old infants
* Born at full term of pregnancy (≥ 37 weeks) with a birth weight ≥ 2.5 kg
* Apgar score ≥ 7 at three minutes after birth
* Informed consent form signed by one parent or legal representative if appropriate (independent witness mandatory if parent is illiterate)

At Inclusion:

* Six weeks of age
* Received a dose of Hepatitis B (HB) in the first three days of life
* Able to attend all scheduled visits and to comply with all trial procedures.

Exclusion Criteria:

At Screening:

* Illness at a stage that could interfere with trial conduct or completion
* Any vaccination before HB vaccination (except bacille Calmette-Guérin \[BCG\] given at birth)
* Vaccination planned in the 4 to 6 weeks following the first trial vaccination (except BCG if not given at birth)
* Acute illness on the day of screening.

At Screening and at Inclusion:

* Blood or blood-derived products received since birth
* Planned participation in another clinical trial during the present trial period
* Mother known as seropositive to Human immunodeficiency virus (HIV) or Hepatitis C, or as carrying the HB surface antigen (HBsAg)
* Known thrombocytopenia or bleeding disorder contraindicating intramuscular vaccination
* Known hypersensitivity to any component of any vaccine to be used in the trial (including neomycin and polymixin B)

At Inclusion:

* Non-trial vaccine administered since birth, except Bacille Calmette-Guérin (BCG)
* Participation in another clinical trial before the first trial vaccination
* Congenital or acquired immunodeficiency, immunosuppressive therapy such as long-term systemic corticosteroid therapy
* Systemic hypersensitivity to any of the vaccine components or history of a life threatening reaction to the trial vaccine or a vaccine containing the same substances
* Chronic illness at a stage that could interfere with trial conduct or completion
* Vaccination other than with the study vaccines planned in the 12 weeks following inclusion
* Documented history of pertussis, tetanus, diphtheria, polio, H. influenza type b, or HB infection (confirmed clinically, serologically, or microbiologically)
* History of seizures
* Febrile (rectal temperature ≥ 38.0°C) or acute illness on the day of inclusion.",ALL,42 Days,50 Days,Medical Director (STUDY_DIRECTOR),Philippines,"Diphtheria, Tetanus, Pertussis, Hepatitis B, Influenza",2025-11-03T08:19:36.267273,whooping cough,,,,0.0,True,False
NCT01544764,"University of North Carolina, Chapel Hill","Examining Adolescent Assessment, Feedback, Incentive, and Exchange (AFIX) in North Carolina","Examining Adolescent Assessment, Feedback, Incentive, and Exchange (AFIX)",COMPLETED,INTERVENTIONAL,NA,"Adolescent Health Services, Immunization",91,2011-04,2012-12,Change in Vaccination Rate: HPV vaccine initiation among 11-12 year olds,"The North Carolina Immunization Branch will evaluate the use of the CDC program to improve adolescent vaccination practices (called Assessment, Feedback, Incentives, and eXchanges, or AFIX). This evaluation is the first of its kind in the nation and may have a profound impact on prevention.

AFIX has four major components: 1) Assessment of a provider's current immunization practices and vaccination levels, 2) Feedback of the assessment results and strategies to improve coverage levels, 3) Incentives to improve coverage levels, and 4) eXchange of information and resources necessary to facilitate improvement.

This program will evaluate the effectiveness of AFIX visits on affecting provider practices to increase adolescent (age 11-18) immunization. Visits include discussion of that practice's immunization rates and strategies for improving rates. The investigators will compare the changes, from baseline to 5 months, in immunization for practices receiving virtual visits (webinars), in-person visits, and no visits (control group). Thirty practices will be randomly assigned to each intervention type. The main outcomes of this study are practice-wide uptake rates of several adolescent vaccines (Tdap, HPV, and MCV4) as well as pre- and post-AFIX visit surveys focusing on recall tactics utilized by each practice. Data will be collected on practices with at least 200 adolescent patients (note: there is no patient-level data collected in this study).","Inclusion Criteria:

* Pediatric and/or family practices participating in the North Carolina Immunization Program
* A minimum of 200 active adolescent patients",ALL,,,"Amanda Dayton, MA (PRINCIPAL_INVESTIGATOR), Amy Grimshaw, MS, MSW (PRINCIPAL_INVESTIGATOR), Noel T Brewer, PhD (STUDY_DIRECTOR)",United States,"Adolescent Health Services, Immunization",2025-11-03T08:19:36.267273,whooping cough,,,,0.0,True,False
NCT02165722,University of Pittsburgh,4 Pillars Toolkit for Adolescent Vaccination,An Enhanced 4 Pillars Toolkit for Increasing Adolescent Immunization: A Randomized Controlled Cluster Trial in Pediatrics and Family Medicine,COMPLETED,INTERVENTIONAL,NA,"Adolescent HPV Vaccine, Adolescent Influenza Vaccine",22,2013-09,2016-12,Change in Percentage of Cumulative HPV Series Initiation Vaccination Rates for Adolescents 11-17 Years of Age,"The purpose of this study is to test whether or not the 4 Pillars Immunization Toolkit increases adolescent vaccination rates, particularly influenza and human papillomavirus (HPV) but also tetanus, diphtheria and pertussis (Tdap), and meningococcal conjugate (MCV) vaccination rates. The vaccines are all FDA licensed vaccines and to be used according to national guidelines. The investigators will conduct a randomized cluster trial of this toolkit in diverse primary care practices with electronic medical records (EMRs).","Inclusion Criteria:

* For clinical sites: inclusion criterion includes

  1. an appropriate adolescent population: e.g., adolescents aged 11 to 17 years
  2. currently using an EMR
  3. having and keeping immunization data within a EMR or registry.

Exclusion Criteria:

* For clinical sites: the exclusion criteria is consistent SOP use for the vaccines being studied or known much higher than average immunization rates.",ALL,11 Years,17 Years,"Richard K Zimmerman, MD, MPH, MA (PRINCIPAL_INVESTIGATOR)",United States,"Adolescent HPV Vaccine, Adolescent Influenza Vaccine",2025-11-03T08:19:36.267273,whooping cough,,,,0.0,True,False
NCT07112144,Changchun BCHT Biotechnology Co.,Adsorption of Cell-free Diphtheria and Tetanus (Three-component) Combined With Vaccine Phase III Clinical Trial,Phase III Clinical Trials to Evaluate the Immunogenicity and Safety of Adsorption-free Diphtheria and Tetanus (Three-component) Combined Vaccine in 2-month-old Infants and Young Children,RECRUITING,INTERVENTIONAL,PHASE3,"Prevent Whooping Cough, Prevent Diphtheria, Prevent Tetanus",1650,2025-06-13,2032-06,Immunogenicity,"The immunogenicity and safety of the adsorption of cell-free diphtheria and tetanus (three-component) combined vaccine were evaluated at 2 months, 4 months and 6 months.","Inclusion Criteria:

1. Healthy infants and young children who are permanent residents aged 2 months (60-89 days), and can provide valid identification documents for the subject and their legal guardian;
2. Obtain the informed consent of the subject's legal guardian and sign the informed consent form;
3. The legal guardian of the subject can comply with the requirements of the clinical trial protocol.

Exclusion Criteria:

1. History of pertussis, diphtheria, or tetanus;
2. Contact with individuals diagnosed with pertussis or diphtheria within the past 30 days;
3. Vaccination with vaccines containing DTaP components, inactivated poliovirus vaccine, 13-valent pneumococcal polysaccharide conjugate vaccine, or Hib vaccine;
4. Premature infants (born before 37 weeks of gestation), infants with severe abnormal labor processes or a history of asphyxia rescue, or low birth weight infants (\<2500g);
5. Axillary temperature \>37.0°C on the day of enrollment\*;
6. Severe congenital malformations or developmental disorders, genetic defects, severe malnutrition, or congenital diseases (such as Down syndrome, sickle cell anemia, congenital nervous system diseases, etc.);
7. History of epilepsy, convulsions, or seizures, history of cerebral palsy, or family history of mental illness;
8. Autoimmune diseases or immunodeficiencies (such as perianal abscesses suggesting possible immunodeficiency in infants, human immunodeficiency virus infection, lymphoma, leukemia, etc.), or parents/siblings with autoimmune diseases or immunodeficiencies;
9. Asplenia or splenic dysfunction due to any cause;
10. Clinically diagnosed coagulation disorders (such as coagulation factor deficiencies, coagulation diseases, platelet abnormalities) or obvious bruising/coagulation disorders that may contraindicate intramuscular injection;
11. History of severe allergic diseases (such as anaphylactic shock, allergic laryngeal edema, allergic purpura, thrombocytopenic purpura, local allergic necrotic reactions), history of severe allergic reactions to any vaccine (widespread urticaria, angioedema, etc.), or allergy to any known component of the test vaccine (pertussis toxoid, filamentous hemagglutinin, 69KD outer membrane protein, diphtheria toxoid, tetanus toxoid, aluminum hydroxide, sodium chloride, sodium hydroxide, etc.);
12. Vaccination with subunit or inactivated vaccines within the past 7 days; vaccination with live attenuated vaccines within the past 14 days\*;
13. Receipt of immunoglobulin and/or any blood products (except hepatitis B immunoglobulin) before enrollment;
14. Receipt of any immunostimulant or immunosuppressant therapy before enrollment (continuous oral administration or infusion for ≥14 days, or topical steroid use \[inhaled, nasal spray, intra-articular, eye drops, ointments, etc.\] exceeding the recommended dosage in the package insert);
15. Suffering from acute illnesses within 3 days before enrollment (acute illness is defined as moderate or severe illness with or without fever)\*;
16. Administration of prophylactic medications (such as antipyretic analgesics, antiallergic drugs, antidiarrheal drugs, etc.) within 3 days before enrollment\*;
17. Known or suspected severe clinically diagnosed diseases (including but not limited to severe diseases of the nervous, cardiovascular, hematological and lymphatic, immune, renal, hepatic, gastrointestinal, respiratory, metabolic, and skeletal systems, as well as a history of malignant tumors);
18. Currently participating in other clinical trials or planning to participate in other trials during the study period;
19. Any other factors that, in the judgment of the researcher, make the subject unsuitable for participating in the clinical trial.",ALL,2 Months,3 Months,,China,"Prevent Whooping Cough, Prevent Diphtheria, Prevent Tetanus",2025-11-03T08:19:36.267273,whooping cough,2025-06-13,,143.0,11.538461538461538,False,False
NCT06333275,"Insel Gruppe AG, University Hospital Bern",Restoration of Immunity to Vaccine Preventable Diseases After CART-T Cell Therapy,Restoration of Immunity to Vaccine Preventable Diseases After CART-T Cell Therapy,RECRUITING,OBSERVATIONAL,,Vaccine Immunity in CAR-T Cell Therapy Recipients,80,2023-11-14,2026-12,CAR-T cell therapy associated change in antibody levels against 5 vaccine preventable pathogens,"The goal of this observational study is to learn about vaccine immunity in patients with B-cell malignancies treated by chimeric antigen receptor T-cell therapies (CAR-T). The main questions it aims to answer are:

* Do CAR-T cell therapy recipients lose vaccine protection against common vaccine-preventable pathogens
* Are current re-vaccination recommendations sufficient in restoring vaccine-protection
* Is this restored vaccine-protection after CAR-T cell therapy lost faster than usual
* Do clinical or immunological factors predict vaccine response after CAR-T cell therapy","Inclusion Criteria:

* Patient ≥ 18 years old
* Suffering from a B-cell malignancy (B-cell acute lymphoblastic leukemia (ALL), B-cell non-hodgkin lymphoma (NHL), Follicular lymphoma (FL), Mantle Cell Lymphoma (MCL), Multiple myeloma (MM))
* Planned for a CAR-T cell therapy
* Provided written informed consent

Exclusion Criteria:

* Previous or already started CAR-T cell therapy
* \< 18 years old
* Lack of consent",ALL,18 Years,,"Christine Thurnheer Zürcher, PD, MD (PRINCIPAL_INVESTIGATOR), Cédric Hirzel, PD, MD (PRINCIPAL_INVESTIGATOR)",Switzerland,Vaccine Immunity in CAR-T Cell Therapy Recipients,2025-11-03T08:19:36.267273,whooping cough,2023-11-14,,720.0,0.1111111111111111,False,False
NCT01331915,Cliniques universitaires Saint-Luc- Université Catholique de Louvain,Safety and Toxicity Study of Vaccination for Advanced Metastatic Melanoma Patients,"Phase I/II Study of Therapeutic Vaccination With Escalating Doses of Theravac®, a Proteinic Vector Targeting Dendritic Cells Coupled to a Melanoma Antigen, in Patients With Advanced Metastatic Melanoma.",UNKNOWN,INTERVENTIONAL,"PHASE1, PHASE2",Melanoma,23,2010-09,,To analyze the safety and toxicity of increasing doses of Theravac® in patients with advanced metastatic melanoma,"In this phase I study, the investigators want to vaccine with THERAVAC® (an inactivated toxin coupled to melanoma antigen) some patients with advanced metastatic melanoma disease.

The primary objective is to analyze the safety of the inreasing doses of vaccine.

The secondary objective is to document whether this vaccine can induce tumor regression in immunized patients.","Inclusion Criteria:

1. Histologically proven cutaneous, uveal or mucosal melanoma.
2. Melanoma must be metastatic. The origin of the primary could be cutaneous, uveal or mucosal and any metastatic stage is accepted, except if brain or leptomeningeal localizations are present, or if plasma LDH are elevated more than 1.5 normal upper values (see also below).
3. HLA-A2 positive.
4. The melanoma must express the tyrosinase gene (positive RT-PCR on a frozen pre-immune tumor sample) (see Appendix B).
5. At least one measurable or non-measurable tumor lesion (see Section 8.1).
6. Expected survival of at least 3 months.
7. Karnofsky performance scale ≥70 or WHO performance status of 0 or 1 (see Appendix C).
8. Vital laboratory parameters should be within normal range, except for the following laboratory parameters, which must be within the ranges specified:

   Lab Parameter Range Hemoglobin ≥ 10 g/dl or ≥ 6,25 mmol/l Granulocytes ≥ 1,500/µl Lymphocytes ≥ 700/µl Platelets ≥ 100,000/µl Serum creatinin ≤ 2.0 mg/dl or ≤ 177 μmol/l Serum bilirubin ≤ 2.0 mg/dl or ≤ 34.2 μmol/l ASAT and ALAT ≤ 2 x the normal upper limits LDH ≤ 1.5 x the normal upper limit.
9. Viral serology:

   * HIV (human immunodeficiency virus): negative antibodies.
   * HBV (hepatitis B virus): negative antigens; antibodies may be positive.
   * HCV (hepatitis C virus): negative antibodies.
10. Age ≥ 18 years
11. Able and willing to give valid written informed consent

Exclusion Criteria:

1. Previous treatment with more than one regimen of systemic chemotherapy, combined or not with non-specific immunotherapy such as interferon alpha or interleukins. Chemoimmunotherapy or radiotherapy must be stopped within the preceding 4 weeks (6 weeks for nitrosoureas and mitomycin C).
2. Previous treatment with a vaccine known or likely to contain the Tyrosinase.A2 epitope YMDGTMSQV.
3. Clinically significant heart disease (NYHA Class III or IV) i.e. NYHA class 3 congestive heart failure; myocardial infarction within the past six months; unstable angina; coronary angioplasty within the past 6 months; uncontrolled atrial or ventricular cardiac arrhythmias.
4. Active immunodeficiency or autoimmune disease. Vitiligo is not an exclusion criterion.
5. Other serious acute or chronic illnesses, e.g. active infections requiring antibiotics, bleeding disorders, or other conditions requiring concurrent medications not allowed during this study.
6. Other malignancy within 3 years prior to entry into the study, except for treated non-melanoma skin cancer and cervical carcinoma in situ.
7. Allergy to kanamycin (used in the preparation of the recombinant protein) or to any other aminoglycoside antibiotic.
8. Lack of availability for immunological and clinical follow-up assessments.
9. Participation in any other clinical trial involving another investigational agent within 4 weeks prior to enrollment.
10. Pregnancy or breastfeeding.
11. Women of childbearing potential: Refusal or inability to use effective means of contraception.",ALL,18 Years,,"Jean-François Baurain, MD, PhD (PRINCIPAL_INVESTIGATOR)",Belgium,Melanoma,2025-11-03T08:19:36.267273,whooping cough,,,,0.0,False,False
NCT04444518,University of Rochester,Increasing Influenza and Tdap Vaccination of Pregnant Women,The VAX-MOM Study: Increasing Influenza and Tdap Vaccination of Pregnant Women,COMPLETED,INTERVENTIONAL,NA,"Immunization; Infection, Pregnancy Related",12760,2019-07-01,2022-06-30,Rate of Influenza Vaccination,"Pregnant women who get influenza are more likely than non-pregnant women to have serious complications, including hospitalizations, death, preterm labor and premature birth. Pertussis can cause hospitalization or death for newborns. However, influenza and Tdap vaccination rates for pregnant women are low nationally. In this study, the investigators will perform a randomized controlled trial aimed at practice change in obstetricians' offices, with an overall goal of reducing morbidity and mortality from influenza and pertussis infections.","Inclusion Criteria:

Patients

* Sex is female
* Pregnant
* identified as being eligible for influenza or Tdap vaccine

Providers

* any provider, nurse or staff associated with the participating sites

Exclusion Criteria:

Patients

* none

Providers

* none",ALL,,,,United States,"Immunization; Infection, Pregnancy Related",2025-11-03T08:19:36.267273,whooping cough,2019-07-01,2022-06-30,1095.0,11.65296803652968,True,False
